# dvcd|name
0|0
1000|1000
100|100
10MLT|10만원이하
10MOV|10만원초과
10|10
11|11
12|12
13|13
14|14
1500|1500
150|150
15|15
16|16
17|17
18|18
19|19
1ST_RANK|1단계순위
1ST_YN|1단계여부
1ST|1단계
1|1
2000|2000
200|200
20|20
21|21
22|22
23|23
24|24
2500|2500
250|250
25|25
26|26
27|27
28|28
29|29
2|2
3000|3000
300|300
30|30
31|31
32|32
33|33
34|34
35|35
36|36
37|37
38|38
39|39
3|3
4000|4000
400|400
40|40
41|41
42|42
43|43
44|44
45|45
46|46
47|47
48|48
49|49
4|4
500|500
50|50
51|51
52|52
5|5
60|60
65AOV|65세이상
6|6
70|70
75|75
7|7
80|80
8|8
90|90
9AM|9시
9|9
AAH_BFAT_REG_M|[보건]체지방등록{관리}
AAH_DRUG_IN_M|[보건]약품입고{관리}
AAH|[보건]
AAOD|맞춤
ABBR|약어
ABEEK_DEGR_CD|공학인증학위코드
ABEEK_DPMJ_NM|공학인증학과명
ABEEK_TARGT_DPMJ_DVCD|공학인증대상학과구분코드
ABEEK_TARGT_YN|공학인증대상여부
ABEEK_YN|공학인증여부
ABEEK|공학인증
ABLJ_PPNU|기능직인원
ABLJ|기능직
ABLT_DVCD|기능구분코드
ABLT|기능
ABL_DT|폐지일시
ABL_EXPT_YMD|폐지예정일자
ABL_REASON|폐지사유
ABL_YMD|폐지일자
ABL_YN|폐지여부
ABL|폐지
ABNE_BEGIN_DTMS|부재시작일시분초
ABNE_BEGIN_DT|부재시작일시
ABNE_BEGIN_YMD|부재시작일자
ABNE_END_DTMS|부재종료일시분초
ABNE_END_DT|부재종료일시
ABNE_END_YMD|부재종료일자
ABNE_REASON|부재사유
ABNE_YN|부재여부
ABNE|부재
ABSC_DAY_CNT|결근일수
ABSC|결근
ABSNT_YN|결시여부
ABSNT|결시
ABSN_CNT|결석수
ABSN_DCNT|결석일수
ABSN_YN|결석여부
ABSN|결석
ABST_TEXT|적요내용
ABST|적요
ABT_TEXT_ARTC|초록내용항목
ABT_TEXT|초록내용
ABT|초록
ACACT|학술활동
ACAF_ASTP_MONS_CNT|교무보직개월수
ACAF_CMTER_DTAI|교무위원내역
ACAF_CMTER_YN|교무위원여부
ACAF_DPMJ_YN|교무학과여부
ACAF_WARN_YN|교무경고여부
ACAF|교무
ACAJNL_NM|학회지명
ACAJNL|학회지
ACCID_ABSN_DCNT|사고결석일수
ACCID_ELEV_DCNT|사고조퇴일수
ACCID_LTNS_DCNT|사고지각일수
ACCID_RESULT_DCNT|사고결과일수
ACCID|사고
ACCISR|상해보험
ACCMSTR_APPL_YN|학석사신청여부
ACCMSTR_GSS5_DVCD|학석사5년제구분코드
ACCMSTR_TARGT_YN|학석사대상여부
ACCMSTR|학석사
ACCNT_NM|구좌명
ACCNT|구좌
ACCO_NM_ARTC|학술대회명항목
ACCO_NM|학술대회명
ACCO|학술대회
ACCPT_ACC_NM|수취계좌명
ACCPT_ACC_NO|수취계좌번호
ACCPT_BANK_ADDR|수취은행주소
ACCPT_BANK_NM|수취은행명
ACCPT_QURY_CTCKR|수취문의연락처
ACCPT_QURY_FAX|수취문의팩스
ACCPT|수취
ACCTITEM_CD|비목코드
ACCTITEM_DVCD|비목구분코드
ACCTITEM_NM|비목명
ACCTITEM_ODR|비목차수
ACCTITEM|비목
ACCTO|별
ACCT_ABBR_NM|계정약어명
ACCT_AMT|계정금액
ACCT_ARTC_DVCD|계정항목구분코드
ACCT_BALC_AMT|계정잔액금액
ACCT_CD_LVL_1|계정코드레벨1
ACCT_CD_LVL_2|계정코드레벨2
ACCT_CD|계정코드
ACCT_CLA_DVCD|계정분류구분코드
ACCT_CLA_YN|계정분류여부
ACCT_CREAT_DTMS|계정생성일시분초
ACCT_DESC|계정설명
ACCT_DVCD|계정구분코드
ACCT_GRD_CD|계정등급코드
ACCT_GRD_DVCD|계정등급구분코드
ACCT_GRNT_STTUS_YN|계정부여상태여부
ACCT_INNO_DVCD|계정수지구분코드
ACCT_LVL|계정레벨
ACCT_NM_LVL_1|계정명레벨1
ACCT_NM_LVL_2|계정명레벨2
ACCT_NM|계정명
ACCT_SEQ|계정순번
ACCT_UNIT|계정단위
ACCT|계정
ACC_AGREE_YN|계좌동의여부
ACC_CD|계좌코드
ACC_DVCD|계좌구분코드
ACC_MOD_DT|계좌수정일시
ACC_NM|계좌명
ACC_NO|계좌번호
ACC_PURPS_DVCD|계좌용도구분코드
ACC_PURPS|계좌용도
ACC_STTUS_CD|계좌상태코드
ACC_TRAN_YN|계좌이체여부
ACC_USE_YN|계좌사용여부
ACC|계좌
ACDBD|교무위원회
ACDB|교무위원회
ACDF_GIRO_AMT|학원비지로금액
ACDF_GIRO|학원비지로
ACDF|학원비
ACDINCP_ADVC_PROTO_GRD_DVCD|산학협력발전계획서등급구분코드
ACDINCP_DEDIC_FTM_CNT|산학협력전담전임수
ACDINCP_FTM_ACDINCP_PNT|산학협력전임산학협력점수
ACDINCP_FTM_ACDINCP_RESULT_PNT|산학협력전임산학협력결과점수
ACDINCP_FTM_ARACT_PNT|산학협력전임산학활동점수
ACDINCP_FTM_ARACT_RESULT_PNT|산학협력전임산학활동결과점수
ACDINCP_FTM_ARTR_PNT|산학협력전임산학영역점수
ACDINCP_FTM_ARTR_RESULT_PNT|산학협력전임산학영역결과점수
ACDINCP_FTM_EDTR_PNT|산학협력전임교육영역점수
ACDINCP_FTM_EDTR_RESULT_PNT|산학협력전임교육영역결과점수
ACDINCP_FTM_STCH_GTJB_PNT|산학협력전임학생지도취업점수
ACDINCP_FTM_STCH_GTJB_RESULT_PNT|산학협력전임학생지도취업결과점수
ACDINCP_LOW_STCH_GTJB|산학협력최저학생지도취업
ACDINCP_LOW|산학협력최저
ACDINCP_PROTO_PNT|산학협력계획서점수
ACDINCP_RSCH_TRANF_PNT|산학협력연구대체점수
ACDINCP_SRVE_TRANF_PNT|산학협력봉사대체점수
ACDINCP_TERR_DVCD|산학협력영역구분코드
ACDINCP_TERR_LOW_PNT|산학협력영역최저점수
ACDINCP_TERR_PNT|산학협력영역점수
